X,Y,Component,Action
6,0,E,Pick
1,2,E,Place
2,0,A,Pick
4,4,A,Place
7,0,F,Pick
6,2,F,Place
7,0,F,Pick
4,2,F,Place
4,0,C,Pick
2,5,C,Place
2,0,A,Pick
2,6,A,Place
9,0,H,Pick
8,3,H,Place
9,0,H,Pick
10,3,H,Place
9,0,H,Pick
6,3,H,Place
8,0,G,Pick
6,4,G,Place
7,0,F,Pick
2,2,F,Place
2,0,A,Pick
6,6,A,Place
6,0,E,Pick
1,3,E,Place
4,0,C,Pick
3,7,C,Place
6,0,E,Pick
1,4,E,Place
4,0,C,Pick
6,8,C,Place
9,0,H,Pick
4,3,H,Place
6,0,E,Pick
1,5,E,Place
6,0,E,Pick
1,6,E,Place
8,0,G,Pick
2,3,G,Place
2,0,A,Pick
4,10,A,Place
9,0,H,Pick
10,6,H,Place
9,0,H,Pick
5,5,H,Place
6,0,E,Pick
1,7,E,Place
7,0,F,Pick
2,7,F,Place
6,0,E,Pick
1,8,E,Place
2,0,A,Pick
8,9,A,Place
6,0,E,Pick
1,9,E,Place
6,0,E,Pick
1,10,E,Place
7,0,F,Pick
4,11,F,Place
6,0,E,Pick
1,11,E,Place
6,0,E,Pick
1,12,E,Place
7,0,F,Pick
5,13,F,Place
6,0,E,Pick
1,13,E,Place
