X,Y,Component,Action
6,0,E,Pick
12,2,E,Place
10,0,I,Pick
11,3,I,Place
7,0,F,Pick
8,2,F,Place
7,0,F,Pick
10,2,F,Place
8,0,G,Pick
10,4,G,Place
11,0,J,Pick
10,5,J,Place
10,0,I,Pick
7,5,I,Place
4,0,C,Pick
7,4,C,Place
8,0,G,Pick
11,5,G,Place
8,0,G,Pick
9,6,G,Place
11,0,J,Pick
11,7,J,Place
11,0,J,Pick
10,8,J,Place
7,0,F,Pick
8,7,F,Place
6,0,E,Pick
12,3,E,Place
11,0,J,Pick
9,8,J,Place
6,0,E,Pick
12,4,E,Place
10,0,I,Pick
4,6,I,Place
4,0,C,Pick
9,4,C,Place
10,0,I,Pick
5,7,I,Place
6,0,E,Pick
12,5,E,Place
6,0,E,Pick
12,6,E,Place
6,0,E,Pick
12,7,E,Place
6,0,E,Pick
12,8,E,Place
8,0,G,Pick
11,11,G,Place
6,0,E,Pick
12,9,E,Place
11,0,J,Pick
8,12,J,Place
4,0,C,Pick
9,9,C,Place
6,0,E,Pick
12,10,E,Place
8,0,G,Pick
11,13,G,Place
6,0,E,Pick
12,11,E,Place
7,0,F,Pick
10,13,F,Place
6,0,E,Pick
12,12,E,Place
4,0,C,Pick
6,13,C,Place
6,0,E,Pick
12,13,E,Place
